,Creditability,Account_Balance,Duration_of_Credit_monthly,Payment_Status_of_Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,Length_of_current_employment,Instalment_per_cent,Sex_Marital_Status,Guarantors,Duration_in_Current_address,Most_valuable_available_asset,Age_years,Concurrent_Credits,Type_of_apartment,No_of_Credits_at_this_Bank,Occupation,No_of_dependents,Telephone,Foreign_Worker
0,1,No Account,18,Previous Credits Paid,Used Car,1049,None,<1 Year,Below 20%,"Male, Single",None,Above 7,Car,21,None,Free,1,Skilled,3 or More,No,No
1,1,No Account,9,Previous Credits Paid,Other,2799,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",None,36,None,Free,2 or 3,Skilled,Less than 3,No,No
2,1,None,12,Paid Up,Retraining,841,Below 100 DM,"[4, 7)","(25%, 35%)","Male, Single",None,Above 7,None,23,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
3,1,No Account,12,Previous Credits Paid,Other,2122,None,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",None,39,None,Free,2 or 3,Unskilled Permanent Resident,Less than 3,No,Yes
4,1,No Account,12,Previous Credits Paid,Other,2171,None,"[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,Car,38,Other Banks,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,Yes
5,1,No Account,10,Previous Credits Paid,Other,2241,None,<1 Year,Above 35%,"Male, Married/Widowed",None,"[4, 7)",None,48,None,Free,2 or 3,Unskilled Permanent Resident,Less than 3,No,Yes
6,1,No Account,8,Previous Credits Paid,Other,3398,None,"[4, 7)",Above 35%,"Male, Married/Widowed",None,Above 7,None,39,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,Yes
7,1,No Account,6,Previous Credits Paid,Other,1361,None,<1 Year,"(25%, 35%)","Male, Married/Widowed",None,Above 7,None,40,None,Rented,1,Unskilled Permanent Resident,Less than 3,No,Yes
8,1,200 DM or Above,18,Previous Credits Paid,Furniture,1098,None,Unemployed,Below 20%,"Male, Single",None,Above 7,Life Insurance,65,None,Rented,2 or 3,"Unemployed, unskilled",3 or More,No,No
9,1,None,24,Paid Up,Furniture,3758,"[100, 500)",Unemployed,Above 35%,"Male, Single",None,Above 7,Real Estate,23,None,Free,1,"Unemployed, unskilled",3 or More,No,No
10,1,No Account,11,Previous Credits Paid,Other,3905,None,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",None,36,None,Free,2 or 3,Skilled,Less than 3,No,No
11,1,No Account,30,Previous Credits Paid,New Car,6187,Below 100 DM,"[4, 7)",Above 35%,Female,None,Above 7,Life Insurance,24,None,Free,2 or 3,Skilled,3 or More,No,No
12,1,No Account,6,Previous Credits Paid,Furniture,1957,None,"[4, 7)",Above 35%,"Male, Single",None,Above 7,Life Insurance,31,None,Rented,1,Skilled,3 or More,No,No
13,1,None,48,No Problem with Current Credits,Business,7582,Below 100 DM,Unemployed,"(25%, 35%)","Male, Married/Widowed",None,Above 7,Real Estate,31,None,Rented,1,Executive,3 or More,Yes,No
14,1,No Account,18,Paid Up,Furniture,1936,Above 1000,"[4, 7)","(25%, 35%)",Female,None,Above 7,Life Insurance,23,None,Free,2 or 3,Unskilled Permanent Resident,3 or More,No,No
15,1,No Account,6,Paid Up,Furniture,2647,"[100, 500)","[1, 4)","(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",None,44,None,Free,1,Skilled,Less than 3,No,No
16,1,No Account,11,Previous Credits Paid,Other,3939,None,"[1, 4)",Above 35%,"Male, Married/Widowed",None,"[1, 4)",None,40,None,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,No,No
17,1,None,18,Paid Up,Furniture,3213,"[100, 500)",<1 Year,Above 35%,Female,None,"[4, 7)",None,25,None,Free,1,Skilled,3 or More,No,No
18,1,None,36,Previous Credits Paid,Furniture,2337,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,None,36,None,Rented,1,Skilled,3 or More,No,No
19,1,200 DM or Above,11,Previous Credits Paid,Other,7228,None,"[1, 4)",Above 35%,"Male, Married/Widowed",None,Above 7,Car,39,None,Rented,2 or 3,Unskilled Permanent Resident,3 or More,No,No
20,1,No Account,6,Previous Credits Paid,Other,3676,None,"[1, 4)",Above 35%,"Male, Married/Widowed",None,"[4, 7)",None,37,None,Free,4 or 5,Skilled,Less than 3,No,No
21,1,None,12,Previous Credits Paid,Other,3124,None,<1 Year,Above 35%,"Male, Married/Widowed",None,"[4, 7)",None,49,Other Banks,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,No,No
22,0,None,36,Paid Up,Appliances,2384,None,<1 Year,Below 20%,"Male, Married/Widowed",None,<1 Year,Real Estate,33,None,Free,1,Unskilled Permanent Resident,3 or More,No,No
23,1,None,12,Previous Credits Paid,Radio/TV,1424,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",Car,26,None,Rented,1,Skilled,3 or More,No,No
24,1,No Account,6,Previous Credits Paid,Other,4716,Above 1000,<1 Year,Above 35%,"Male, Married/Widowed",None,"[4, 7)",None,44,None,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,No,No
25,1,None,11,No Problem with Current Credits,Furniture,4771,None,"[4, 7)","(25%, 35%)","Male, Married/Widowed",None,Above 7,Car,51,None,Rented,1,Skilled,3 or More,No,No
26,1,No Account,12,Paid Up,Used Car,652,None,Above 7,Below 20%,"Male, Single",None,Above 7,Car,24,None,Free,1,Skilled,3 or More,No,No
27,1,None,9,Previous Credits Paid,Furniture,1154,None,Above 7,"(25%, 35%)","Male, Married/Widowed",None,Above 7,None,37,None,Rented,4 or 5,Unskilled Permanent Resident,3 or More,No,No
28,1,200 DM or Above,15,Paid Up,Other,3556,Above 1000,"[1, 4)","[20%, 25%)","Male, Married/Widowed",None,"[1, 4)",Real Estate,29,None,Rented,1,Skilled,3 or More,No,No
29,1,Below 200 DM,42,Previous Credits Paid,New Car,4796,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,56,None,Owned,1,Skilled,3 or More,No,No
30,1,Below 200 DM,30,Previous Credits Paid,Furniture,3017,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Car,47,None,Rented,1,Skilled,3 or More,No,No
31,1,200 DM or Above,36,Previous Credits Paid,Other,3535,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,37,None,Rented,2 or 3,Skilled,3 or More,Yes,No
32,1,200 DM or Above,36,Previous Credits Paid,Other,6614,None,Above 7,Below 20%,"Male, Married/Widowed",None,Above 7,Life Insurance,34,None,Rented,2 or 3,Executive,3 or More,Yes,No
33,1,200 DM or Above,24,Paid Up,Furniture,1376,"[100, 500)","[4, 7)",Below 20%,"Male, Single",None,<1 Year,Life Insurance,28,None,Rented,1,Skilled,3 or More,No,No
34,1,No Account,15,Paid Up,Other,1721,None,<1 Year,"(25%, 35%)","Male, Married/Widowed",None,"[4, 7)",None,36,None,Rented,1,Skilled,3 or More,No,No
35,1,No Account,6,Previous Credits Paid,Other,860,None,Above 7,Above 35%,"Male, Single",None,Above 7,Real Estate,39,None,Rented,2 or 3,Skilled,3 or More,Yes,No
36,1,200 DM or Above,12,Previous Credits Paid,Other,1495,None,Above 7,Below 20%,"Male, Married/Widowed",None,<1 Year,None,38,None,Rented,2 or 3,Unskilled Permanent Resident,Less than 3,No,No
37,1,200 DM or Above,12,Previous Credits Paid,Furniture,1934,None,Above 7,"(25%, 35%)","Male, Married/Widowed",None,"[1, 4)",Real Estate,26,None,Rented,2 or 3,Skilled,3 or More,No,No
38,1,200 DM or Above,18,Paid Up,New Car,3378,Above 1000,"[1, 4)","(25%, 35%)","Male, Married/Widowed",None,<1 Year,Car,31,None,Rented,1,Skilled,3 or More,Yes,No
39,1,200 DM or Above,24,Previous Credits Paid,New Car,3868,None,Above 7,Below 20%,"Male, Single",None,"[1, 4)",Life Insurance,41,None,Free,2 or 3,Executive,3 or More,Yes,No
40,1,200 DM or Above,12,Previous Credits Paid,Appliances,996,Above 1000,"[4, 7)",Below 20%,"Male, Single",None,Above 7,None,23,None,Rented,2 or 3,Skilled,3 or More,No,No
41,1,No Account,24,Paid Up,Business,1755,None,Above 7,Below 20%,"Male, Single",Guarantor,Above 7,None,58,None,Rented,1,Unskilled Permanent Resident,3 or More,Yes,No
42,1,200 DM or Above,18,Previous Credits Paid,Other,1028,None,"[1, 4)",Below 20%,"Male, Single",None,"[4, 7)",None,36,None,Rented,2 or 3,Skilled,3 or More,No,No
43,1,None,24,Previous Credits Paid,Retraining,2825,Above 1000,"[4, 7)",Below 20%,"Male, Married/Widowed",None,"[4, 7)",Real Estate,34,None,Rented,2 or 3,Skilled,Less than 3,Yes,No
44,1,None,18,Paid Up,Repair,1239,Above 1000,"[1, 4)",Below 20%,"Male, Married/Widowed",None,Above 7,Real Estate,61,None,Owned,1,Skilled,3 or More,No,No
45,0,No Account,18,Paid Up,Other,1216,None,<1 Year,Below 20%,"Male, Single",None,"[4, 7)",Life Insurance,23,None,Free,1,Skilled,3 or More,Yes,No
46,1,200 DM or Above,24,Paid Up,Retraining,1258,None,"[4, 7)",Below 20%,"Male, Married/Widowed",None,<1 Year,None,25,None,Rented,1,Skilled,3 or More,Yes,No
47,0,200 DM or Above,18,Previous Credits Paid,Repair,1864,Below 100 DM,"[1, 4)",Below 20%,"Male, Single",None,"[1, 4)",None,30,None,Rented,2 or 3,Skilled,3 or More,No,No
48,1,200 DM or Above,24,Paid Up,Other,1474,Below 100 DM,<1 Year,Below 20%,Female,None,"[4, 7)",None,33,None,Rented,1,Skilled,3 or More,Yes,No
49,1,No Account,24,Previous Credits Paid,Retraining,1382,Below 100 DM,"[4, 7)",Below 20%,"Male, Married/Widowed",None,<1 Year,None,26,None,Rented,2 or 3,Skilled,3 or More,Yes,No
